ACTUAL;MONTO;CLIENTE;REMITO;FECHA
UTIL;0;cabildo 1757;924;2017-10-08
UTIL;0;david;925;2017-10-09
UTIL;0;corrientes 2 tx2;926;2017-10-09
UTIL;0;multiprecio tx2;927;2017-10-09
UTIL;0;pueyrredon tx2;928;2017-10-09
UTIL;0;navarro tx2;929;2017-10-09
UTIL;0;ramos tx2;940;2017-10-10
UTIL;0;ciudadela tx2;941;2017-10-10
UTIL;0;mercedes tx2;942;2017-10-10
UTIL;0;estrada tx2;944;2017-10-10
UTIL;0;lynmartin tx2;945;2017-10-10
UTIL;0;3 de febrero tx2;946;2017-10-10
UTIL;0;soler tx2;947;2017-10-10
UTIL;0;ballester tx2;948;2017-10-10
UTIL;0;mosconi belgrano tx2;949;2017-10-10
UTIL;0;avellaneda tx2;950;2017-10-10
UTIL;72495,36000000003;NULL;951;2017-10-11
UTIL;11525,760000000002;NULL;952;2017-10-11
UTIL;59198,97599999998;NULL;953;2017-10-11
UTIL;47359,18079999999;NULL;954;2017-10-11
UTIL;33336,79920000001;NULL;955;2017-10-11
UTIL;54428,94;NULL;956;2017-10-11
UTIL;0;mitre avellaneda tx2;971;2017-10-11
UTIL;0;cesar;972;2017-10-11
UTIL;0;no existe mas - crovara tx2;974;2017-10-11
UTIL;0;martelo tx2;975;2017-10-11
UTIL;0;lanuperon tx2;976;2017-10-11
UTIL;0;yrigoyen lanus;977;2017-10-11
UTIL;0;san wilde tx2;978;2017-10-11
UTIL;0;santos tx2;979;2017-10-11
UTIL;0;moreno tx2;981;2017-10-12
UTIL;0;moron tx2;982;2017-10-12
UTIL;0;glew tx2;983;2017-10-12
UTIL;0;urquiza tx2;986;2017-10-12
UTIL;0;marcos paz tx2;995;2017-10-16
UTIL;0;laferrere tx2;996;2017-10-16
UTIL;0;lomas rosas;997;2017-10-16
UTIL;0;zac navarro;1001;2017-10-16
UTIL;0;avellaneda tx2;1021;2017-10-17
UTIL;0;san nicolas arroyos;1032;2017-10-17
UTIL;0;san moron tx2;1033;2017-10-17
UTIL;0;mitre san martin tx2;1034;2017-10-17
UTIL;0;san martin tx2;1035;2017-10-17
UTIL;123213,16420000004;NULL;1038;2017-10-17
UTIL;94430,57720000001;NULL;1039;2017-10-17
UTIL;75715,82160000002;NULL;1040;2017-10-17
UTIL;0;corrientes 5851;1041;2017-10-17
UTIL;0;cabildo 4539 tx2;1042;2017-10-17
UTIL;123,33120000000001;lomas tx2;1044;2017-10-18
UTIL;1321,2400000000002;san jose tx2;1045;2017-10-18
UTIL;0;lafeluro tx2;1051;2017-10-18
UTIL;0;lafenacional;1052;2017-10-18
UTIL;0;acoyte tx2;1053;2017-10-18
UTIL;0;mariano tx2;1054;2017-10-18
UTIL;0;catan tx2;1055;2017-10-18
UTIL;0;juan cesar;1056;2017-10-18
UTIL;0;rivadavia tx2;1058;2017-10-18
